,No.,Naypyitaw/ Region/ State,Districts,Townships,Towns,Wards,Village Tracts,Villages,Remark
0,1,Kachin,4,18,31,165,596,2555,
1,2,Kayah,2,7,10,44,74,517,
2,3,Kayin,4,7,18,86,376,2097,
3,4,Chin,4,9,17,62,465,1349,
4,5,Sagaing,10,37,50,270,1756,5993,
5,6,Tanintharyi,3,10,18,90,265,1236,
6,7,Bago,4,28,51,328,1414,6448,
7,8,Magway,5,25,32,197,1539,4790,
8,9,Mandalay,7,28,32,276,1416,4800,
9,10,Mon,2,10,17,106,366,1143,
10,11,Rakhine,5,17,26,171,1044,3742,
11,12,Yangon,4,45,21,743,621,2143,
12,13,Shan,13,55,85,508,1561,13776,
13,14,Ayeyarwaddy,6,26,44,296,1919,11897,
14,15,Naypyitaw,2,8,8,58,187,796,
15,Total,75,330,458,3400,13599,63282,,
